"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4995,2.2103e-16,0,2.4922e-13,1,3.2125,3.2125,0.25,0.05
1.4995,2.6207e-16,0,2.5291e-13,1,3.225,3.225,0.25,0.05
1.4995,2.6747e-16,0,2.5111e-13,1,3.2375,3.2375,0.25,0.05
1.4995,3.224e-17,0,2.4607e-13,1,3.25,3.25,0.25,0.05
1.4995,-2.6915e-16,0,2.4358e-13,1,3.2625,3.2625,0.25,0.05
1.4995,-4.0644e-16,0,2.4684e-13,1,3.275,3.275,0.25,0.05
1.4995,-4.7784e-16,0,2.4764e-13,1,3.2875,3.2875,0.25,0.05
1.4995,-5.4047e-16,0,2.4646e-13,1,3.3,3.3,0.25,0.05
1.4995,-4.7515e-16,0,2.4853e-13,1,3.3125,3.3125,0.25,0.05
1.4995,-3.693e-16,0,2.4854e-13,1,3.325,3.325,0.25,0.05
1.4995,-3.9845e-16,0,2.4584e-13,1,3.3375,3.3375,0.25,0.05
1.4995,-4.4808e-16,0,2.4336e-13,1,3.35,3.35,0.25,0.05
1.4995,-3.2845e-16,0,2.3866e-13,1,3.3625,3.3625,0.25,0.05
1.4995,-9.6234e-17,0,2.3096e-13,1,3.375,3.375,0.25,0.05
1.4995,1.9335e-16,0,2.2695e-13,1,3.3875,3.3875,0.25,0.05
1.4995,5.1928e-16,0,2.2912e-13,1,3.4,3.4,0.25,0.05
1.4995,7.0925e-16,0,2.3259e-13,1,3.4125,3.4125,0.25,0.05
1.4995,6.7178e-16,0,2.3248e-13,1,3.425,3.425,0.25,0.05
1.4995,5.4432e-16,0,2.3353e-13,1,3.4375,3.4375,0.25,0.05
1.4995,4.731e-16,0,2.3538e-13,1,3.45,3.45,0.25,0.05
1.4995,3.7888e-16,0,2.3493e-13,1,3.4625,3.4625,0.25,0.05
1.4995,1.3832e-16,0,2.3243e-13,1,3.475,3.475,0.25,0.05
1.4995,-6.8307e-17,0,2.3e-13,1,3.4875,3.4875,0.25,0.05
1.4995,-1.2852e-16,0,2.3267e-13,1,3.5,3.5,0.25,0.05
1.4995,-1.7494e-16,0,2.3137e-13,1,3.5125,3.5125,0.25,0.05
1.4995,-2.2317e-16,0,2.2368e-13,1,3.525,3.525,0.25,0.05
1.4995,-2.2243e-16,0,2.1884e-13,1,3.5375,3.5375,0.25,0.05
1.4995,-3.0337e-16,0,2.1491e-13,1,3.55,3.55,0.25,0.05
1.4995,-3.9493e-16,0,2.1328e-13,1,3.5625,3.5625,0.25,0.05
1.4995,-3.4474e-16,0,2.1525e-13,1,3.575,3.575,0.25,0.05
1.4995,-3.6431e-16,0,2.1381e-13,1,3.5875,3.5875,0.25,0.05
1.4995,-5.4701e-16,0,2.0715e-13,1,3.6,3.6,0.25,0.05
1.4995,-8.1085e-16,0,2.0215e-13,1,3.6125,3.6125,0.25,0.05
1.4995,-9.6902e-16,0,1.965e-13,1,3.625,3.625,0.25,0.05
1.4995,-9.4187e-16,0,1.9185e-13,1,3.6375,3.6375,0.25,0.05
1.4995,-1.0192e-15,0,1.9343e-13,1,3.65,3.65,0.25,0.05
1.4995,-1.2778e-15,0,1.9407e-13,1,3.6625,3.6625,0.25,0.05
1.4995,-1.5474e-15,0,1.9161e-13,1,3.675,3.675,0.25,0.05
1.4995,-1.7055e-15,0,1.8922e-13,1,3.6875,3.6875,0.25,0.05
1.4995,-1.7565e-15,0,1.8588e-13,1,3.7,3.7,0.25,0.05
1.4995,-1.8011e-15,0,1.8125e-13,1,3.7125,3.7125,0.25,0.05
1.4995,-1.7483e-15,0,1.7885e-13,1,3.725,3.725,0.25,0.05
1.4995,-1.5196e-15,0,1.7555e-13,1,3.7375,3.7375,0.25,0.05
1.4995,-1.1553e-15,0,1.7188e-13,1,3.75,3.75,0.25,0.05
1.4995,-7.9516e-16,0,1.6937e-13,1,3.7625,3.7625,0.25,0.05
1.4995,-5.2403e-16,0,1.6734e-13,1,3.775,3.775,0.25,0.05
1.4995,-3.7495e-16,0,1.649e-13,1,3.7875,3.7875,0.25,0.05
1.4995,-3.7581e-16,0,1.5989e-13,1,3.8,3.8,0.25,0.05
1.4995,-3.8476e-16,0,1.5825e-13,1,3.8125,3.8125,0.25,0.05
1.4995,-3.28e-16,0,1.5768e-13,1,3.825,3.825,0.25,0.05
1.4995,-2.968e-16,0,1.5558e-13,1,3.8375,3.8375,0.25,0.05
1.4995,-2.6414e-16,0,1.5178e-13,1,3.85,3.85,0.25,0.05
1.4995,-1.7556e-16,0,1.4607e-13,1,3.8625,3.8625,0.25,0.05
1.4995,-7.844e-17,0,1.4514e-13,1,3.875,3.875,0.25,0.05
1.4995,3.5075e-18,0,1.4772e-13,1,3.8875,3.8875,0.25,0.05
1.4995,-7.3842e-17,0,1.4961e-13,1,3.9,3.9,0.25,0.05
1.4995,-4.5205e-16,0,1.4597e-13,1,3.9125,3.9125,0.25,0.05
1.4995,-9.4526e-16,0,1.4009e-13,1,3.925,3.925,0.25,0.05
1.4995,-1.2431e-15,0,1.3909e-13,1,3.9375,3.9375,0.25,0.05
1.4995,-1.2987e-15,0,1.387e-13,1,3.95,3.95,0.25,0.05
1.4995,-1.2e-15,0,1.3893e-13,1,3.9625,3.9625,0.25,0.05
1.4995,-1.2236e-15,0,1.423e-13,1,3.975,3.975,0.25,0.05
1.4995,-1.4312e-15,0,1.4461e-13,1,3.9875,3.9875,0.25,0.05
1.4995,-1.5369e-15,0,1.4479e-13,1,4,4,0.25,0.05
